,importance_drop,importance_pct
minimum_nights,0.26812259024688373,28.78539235006284
accommodates,0.2557066187163029,27.452425174168066
property_type,0.10085979223424191,10.828213650834734
room_type,0.04295461181866239,4.611567243574374
host_listings_count,0.03982737224044246,4.275829705947211
bathrooms_num,0.025310905489177714,2.717355313367922
host_acceptance_rate_num,0.023868061918121096,2.5624529671896767
review_scores_rating,0.016156584241632698,1.7345558835755166
bedrooms,0.015743670757212468,1.6902258752583377
host_tenure_days,0.015060157337081704,1.616844509082214
availability_90,0.015057883339817769,1.6166003748472542
host_response_rate_num,0.012161692306274008,1.3056679944591378
dist_to_beach_km,0.011674810616354937,1.2533968282755008
number_of_reviews,0.010810651237972401,1.160621479742492
reviews_per_month,0.010696983889456169,1.1484182587404188
availability_60,0.010378802087254346,1.114258555872428
dist_to_center_km,0.009288808645831126,0.9972378720073644
availability_30,0.008570656680384703,0.9201377437663635
availability_365,0.0079941576688495,0.8582453451393625
host_response_time,0.007818829797691728,0.839422307675303
amenities_count,0.00680815780009143,0.7309175003729482
neighbourhood_cleansed,0.005829374071978299,0.6258361880760215
maximum_nights,0.004387271278440574,0.47101337108442887
host_is_superhost,0.0029509454379018306,0.3168107624031856
instant_bookable,0.0017039190098815603,0.18293116289458708
host_identity_verified,0.000968087246783722,0.10393294799256635
beds,0.0003879765900069998,0.041652806485673426
host_has_profile_pic,0.00035428610321871503,0.03803582710406887
has_availability,0.0,0.0
